JPT_SJR_KO,JPT_POWIER,JPT_KOD_JE,JPT_NAZWA_,Shape_Leng,Shape_Area,kod_woj,powiat_kod,gmina_rodz,X,Y
GMI,4948.000000000000000,"1205033",Bobowa,0.448851858360000,0.006208600080000,"12","1205","3",20.946025,49.707138
GMI,7106.000000000000000,"1206032",Iwanowice,0.532498300840000,0.008955629320000,"12","1206","2",19.973303,50.228357
GMI,4569.000000000000000,"1213023",Brzeszcze,0.526749058530000,0.005721244040000,"12","1213","3",19.160362,49.977783
GMI,10503.000000000000000,"1216032",Lisia Góra,0.904620120300000,0.013162285690000,"12","1216","2",21.068712,50.097145
GMI,5346.000000000000000,"1206132",Sułoszowa,0.568376188890000,0.006730463880000,"12","1206","2",19.766386,50.258414
GMI,4801.000000000000000,"1206152",Wielka Wieś,0.628379147960000,0.006072726930000,"12","1206","2",19.849525,50.151699
GMI,10990.000000000000000,"1207032",Dobra,0.716296258310000,0.013683487100000,"12","1207","2",20.232777,49.696961
GMI,2718.000000000000000,"1207021",Mszana Dolna,0.318996695110000,0.003376076590000,"12","1207","1",20.076571,49.681151
GMI,7433.000000000000000,"1207102",Niedźwiedź,0.466788484960000,0.009232659150000,"12","1207","2",20.102055,49.597570
GMI,3278.000000000000000,"1207122",Tymbark,0.384279046620000,0.004077864880000,"12","1207","2",20.312414,49.729627
GMI,21674.000000000000000,"1211032",Czarny Dunajec,0.978196913660000,0.026944650400000,"12","1211","2",19.862688,49.429251
GMI,3188.000000000000000,"1209062",Siepraw,0.401281115340000,0.003986336190000,"12","1209","2",19.996481,49.901697
GMI,8792.000000000000000,"1210032",Gródek nad Dunajcem,0.782265846000000,0.011003101470000,"12","1210","2",20.769101,49.750498
GMI,7237.000000000000000,"1263011",Tarnów,0.564533072230000,0.009079792840000,"12","1263","1",20.964064,50.026061
GMI,9990.000000000000000,"1219053",Wieliczka,0.899334775470000,0.012492076340000,"12","1219","3",20.049486,49.975955
GMI,13513.000000000000000,"1202072",Szczurowa,0.914862576240000,0.016965953460000,"12","1202","2",20.600845,50.121080
GMI,11839.000000000000000,"1212042",Klucze,0.730798179850000,0.015095578790000,"12","1212","2",19.562667,50.365449
GMI,5167.000000000000000,"1213093",Zator,0.529995253960000,0.006473821090000,"12","1213","3",19.434904,49.988436
GMI,2088.000000000000000,"1215011",Jordanów,0.289106544450000,0.002618650300000,"12","1215","1",19.838364,49.648880
GMI,8076.000000000000000,"1215042",Bystra-Sidzina,0.597679130460000,0.010020286200000,"12","1215","2",19.690855,49.620706
GMI,7362.000000000000000,"1215032",Budzów,0.636607676090000,0.009182144570000,"12","1215","2",19.722976,49.785124
GMI,2392.000000000000000,"1213072",Polanka Wielka,0.244106058530000,0.002994462970000,"12","1213","2",19.303486,49.981271
GMI,10808.000000000000000,"1215063",Maków Podhalański,0.775919092420000,0.013545646340000,"12","1215","3",19.666485,49.701252
GMI,3904.000000000000000,"1215092",Zembrzyce,0.495360199480000,0.004892923100000,"12","1215","2",19.573551,49.777942
GMI,8671.000000000000000,"1216082",Skrzyszów,0.636081223980000,0.010784806400000,"12","1216","2",21.087186,49.989654
GMI,7560.000000000000000,"1216112",Wierzchosławice,0.674504565420000,0.009416734710000,"12","1216","2",20.846542,50.022107
GMI,8162.000000000000000,"1202042",Dębno,0.692844552470000,0.010220548270000,"12","1202","2",20.717434,49.944266
GMI,8229.000000000000000,"1201063",Nowy Wiśnicz,0.674142472830000,0.010281237880000,"12","1201","3",20.463927,49.896707
GMI,7193.000000000000000,"1201052",Łapanów,0.639558920600000,0.008966151380000,"12","1201","2",20.281434,49.862255
GMI,11944.000000000000000,"1204073",Szczucin,0.777047560870000,0.015074166420000,"12","1204","3",21.096407,50.294625
GMI,3757.000000000000000,"1205072",Moszczenica,0.395237280330000,0.004691353080000,"12","1205","2",21.099250,49.732738
GMI,13785.000000000000000,"1208042",Książ Wielki,0.895939751990000,0.017444569430000,"12","1208","2",20.170101,50.443720
GMI,28753.000000000000000,"1205102",Uście Gorlickie,1.134296930470000,0.035690022330000,"12","1205","2",21.176235,49.490067
GMI,7597.000000000000000,"1203013",Alwernia,0.740748488440000,0.009272804580000,"12","1203","3",19.539492,50.065265
GMI,7683.000000000000000,"1213043",Kęty,0.634059236510000,0.009565554260000,"12","1213","3",19.250193,49.910606
GMI,13826.000000000000000,"1206063",Krzeszowice,0.843285204330000,0.017482555520000,"12","1206","3",19.606219,50.131827
GMI,7487.000000000000000,"1206103",Skała,0.701247207310000,0.009426014190000,"12","1206","3",19.873793,50.226380
GMI,9966.000000000000000,"1206113",Skawina,0.806698263910000,0.012505301480000,"12","1206","3",19.777925,49.941097
GMI,9953.000000000000000,"1206162",Zabierzów,0.790407502290000,0.012496291760000,"12","1206","2",19.762183,50.119914
GMI,6307.000000000000000,"1211042",Czorsztyn,0.672678640090000,0.007698190600000,"12","1211","2",20.288435,49.443635
GMI,4193.000000000000000,"1210152",Rytro,0.483107152590000,0.005199875600000,"12","1210","2",20.618560,49.475644
GMI,7488.000000000000000,"1218102",Wieprz,0.491630114570000,0.009318140720000,"12","1218","2",19.378393,49.912825
GMI,5403.000000000000000,"1211142",Szaflary,0.486399526910000,0.006727900930000,"12","1211","2",19.987243,49.417551
GMI,9544.000000000000000,"1212062",Trzyciąż,0.703775382110000,0.012079282050000,"12","1212","2",19.813400,50.297518
GMI,3017.000000000000000,"1213011",Oświęcim,0.432281927010000,0.003782268200000,"12","1213","1",19.260206,50.033848
GMI,9993.000000000000000,"1216103",Tuchów,0.819620571320000,0.012493266580000,"12","1216","3",21.032040,49.887476
GMI,10326.000000000000000,"1216013",Ciężkowice,0.713031232410000,0.012905686720000,"12","1216","3",20.951013,49.773938
GMI,2349.000000000000000,"1205011",Gorlice,0.370719126910000,0.002930806140000,"12","1205","1",21.163390,49.666872
GMI,6596.000000000000000,"1205052",Lipinki,0.522133890440000,0.008278005620000,"12","1205","2",21.288199,49.658947
GMI,4906.000000000000000,"1205082",Ropa,0.402690057640000,0.006104003740000,"12","1205","2",21.070413,49.574154
GMI,11088.000000000000000,"1206123",Słomniki,0.809569264360000,0.013970467740000,"12","1206","3",20.075728,50.250357
GMI,16964.000000000000000,"1207092",Mszana Dolna,1.315664634410000,0.021174717250000,"12","1207","2",20.132806,49.652241
GMI,8997.000000000000000,"1211112",Raba Wyżna,0.752423911200000,0.011062844090000,"12","1211","2",19.892822,49.574526
GMI,6906.000000000000000,"1211072",Lipnica Wielka,0.560977087660000,0.008367406310000,"12","1211","2",19.576246,49.517325
GMI,7884.000000000000000,"1208012",Charsznica,0.586544940940000,0.009921687570000,"12","1208","2",19.915984,50.405901
GMI,6865.000000000000000,"1209082",Tokarnia,0.531420270130000,0.008559714100000,"12","1209","2",19.872134,49.738928
GMI,6096.000000000000000,"1209073",Sułkowice,0.615551681400000,0.007544844190000,"12","1209","3",19.821871,49.846617
GMI,13402.000000000000000,"1210092",Łącko,0.825840952110000,0.016517736480000,"12","1210","2",20.462586,49.543030
GMI,5019.000000000000000,"1210122",Nawojowa,0.448990715990000,0.006237732940000,"12","1210","2",20.740839,49.528188
GMI,4991.000000000000000,"1211011",Nowy Targ,0.439629027730000,0.006337266320000,"12","1211","1",20.026423,49.489279
GMI,10920.000000000000000,"1219022",Gdów,0.821492236460000,0.013611269360000,"12","1219","2",20.233332,49.926015
GMI,2989.000000000000000,"1201011",Bochnia,0.353639311490000,0.003746259070000,"12","1201","1",20.425335,49.974687
GMI,8607.000000000000000,"1201072",Rzezawa,0.775653679170000,0.010825041080000,"12","1201","2",20.532253,50.017910
GMI,10009.000000000000000,"1214053",Proszowice,1.013613882890000,0.012596617730000,"12","1214","3",20.328257,50.205937
GMI,4788.000000000000000,"1214042",Pałecznica,0.527907218480000,0.006037218630000,"12","1214","2",20.305426,50.277176
GMI,5798.000000000000000,"1214062",Radziemice,0.609170370560000,0.007310089840000,"12","1214","2",20.194154,50.262308
GMI,11659.000000000000000,"1216063",Ryglice,0.714390826010000,0.014651300570000,"12","1216","3",21.187942,49.895170
GMI,4827.000000000000000,"1216122",Wietrzychowice,0.435897923760000,0.006093097230000,"12","1216","2",20.737196,50.194087
GMI,6689.000000000000000,"1202033",Czchów,0.649291025620000,0.008303401290000,"12","1202","3",20.646580,49.843073
GMI,6138.000000000000000,"1201042",Lipnica Murowana,0.482467106570000,0.007539125170000,"12","1201","2",20.527347,49.847653
GMI,7901.000000000000000,"1203033",Chrzanów,0.925670002190000,0.009988930900000,"12","1203","3",19.353592,50.139332
GMI,10490.000000000000000,"1203053",Trzebinia,0.852562944520000,0.013255421710000,"12","1203","3",19.484087,50.166300
GMI,4851.000000000000000,"1204032",Gręboszów,0.362687960440000,0.006113540990000,"12","1204","2",20.784599,50.249357
GMI,5675.000000000000000,"1205062",Łużna,0.465271374240000,0.007013224150000,"12","1205","2",21.064915,49.697299
GMI,10275.000000000000000,"1205042",Gorlice,1.106266982170000,0.012807762200000,"12","1205","2",21.098416,49.657199
GMI,6511.000000000000000,"1219032",Kłaj,0.640160374370000,0.008122248710000,"12","1219","2",20.276854,50.011984
GMI,4096.000000000000000,"1213052",Osiek,0.407886480270000,0.005126062250000,"12","1213","2",19.286547,49.945332
GMI,8413.000000000000000,"1206012",Czernichów,0.718590244610000,0.010563703330000,"12","1206","2",19.639711,50.020195
GMI,8274.000000000000000,"1206052",Kocmyrzów-Luborzyca,0.748361025770000,0.010430924810000,"12","1206","2",20.102805,50.156404
GMI,4331.000000000000000,"1206092",Mogilany,0.474658423630000,0.005474799670000,"12","1206","2",19.888913,49.940203
GMI,2032.000000000000000,"1206143",Świątniki Górne,0.351623334080000,0.002548160490000,"12","1206","3",19.972597,49.939691
GMI,15122.000000000000000,"1207072",Limanowa,1.444153150750000,0.018976908980000,"12","1207","2",20.433848,49.728593
GMI,12908.000000000000000,"1215082",Zawoja,0.662267081330000,0.016025111540000,"12","1215","2",19.572271,49.635374
GMI,12518.000000000000000,"1211082",Łapsze Niżne,0.823848474380000,0.015580754400000,"12","1211","2",20.216719,49.399360
GMI,7678.000000000000000,"1208072",Słaboszów,0.623983281590000,0.009704589200000,"12","1208","2",20.219812,50.386873
GMI,11266.000000000000000,"1210022",Chełmiec,0.969543112510000,0.013935652130000,"12","1210","2",20.625667,49.651015
GMI,10671.000000000000000,"1210062",Korzenna,0.829937497260000,0.013322365490000,"12","1210","2",20.822568,49.697638
GMI,5759.000000000000000,"1262011",Nowy Sącz,0.489685736690000,0.007164958940000,"12","1262","1",20.716400,49.610238
GMI,6890.000000000000000,"1211123",Rabka-Zdrój,0.514363782910000,0.008601303060000,"12","1211","3",19.969507,49.600411
GMI,8298.000000000000000,"1216042",Pleśna,0.532259970560000,0.010397768700000,"12","1216","2",20.903549,49.915272
GMI,12139.000000000000000,"1216143",Zakliczyn,0.862235901630000,0.015253768780000,"12","1216","3",20.773821,49.832911
GMI,8187.000000000000000,"1216162",Szerzyny,0.601129452270000,0.010244785370000,"12","1216","2",21.256043,49.815395
GMI,8385.000000000000000,"1217052",Poronin,0.790524709340000,0.010337633080000,"12","1217","2",20.072791,49.295462
GMI,6651.000000000000000,"1218022",Brzeźnica,0.760258116510000,0.008323702670000,"12","1218","2",19.597622,49.956707
GMI,4375.000000000000000,"1201082",Trzciana,0.508925438840000,0.005510480370000,"12","1201","2",20.370626,49.829856
GMI,3488.000000000000000,"1201092",Żegocina,0.331845671350000,0.004356325010000,"12","1201","2",20.427749,49.814467
GMI,5626.000000000000000,"1203043",Libiąż,0.564929140200000,0.007152637800000,"12","1203","3",19.323029,50.087851
GMI,8741.000000000000000,"1204062",Radgoszcz,0.642891810580000,0.011094771690000,"12","1204","2",21.126271,50.187809
GMI,5000.000000000000000,"1218062",Spytkowice,0.423867438400000,0.006445727950000,"12","1218","2",19.521700,49.985678
GMI,10143.000000000000000,"1216153",Żabno,0.903429557850000,0.012775521720000,"12","1216","3",20.901515,50.136799
GMI,4856.000000000000000,"1206172",Zielonki,0.607714663250000,0.006109725400000,"12","1206","2",19.930496,50.142360
